,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
US,226545805.0,229465714.0,231664458.0,233791994.0,235824902.0,237923795.0,240132887.0,242288918.0,244498982.0,246819230.0,249622814.0,252980941.0,256514224.0,259918588.0,263125821.0,266278393.0,269394284.0,272646925.0,275854104.0,279040168.0,282162411.0,284968955.0,287625193.0,290107933.0,292805298.0,295516599.0,298379912.0,301231207.0,304093966.0,306771529.0,309348193.0,311663358.0,313998379.0,316204908.0,318563456.0,320896618.0,323127513.0
AL,3893888.0,3918531.0,3925266.0,3934102.0,3951820.0,3972523.0,3991569.0,4015264.0,4023844.0,4030222.0,4050055.0,4099156.0,4154014.0,4214202.0,4260229.0,4296800.0,4331102.0,4367935.0,4404701.0,4430141.0,4452173.0,4467634.0,4480089.0,4503491.0,4530729.0,4569805.0,4628981.0,4672840.0,4718206.0,4757938.0,4785492.0,4799918.0,4815960.0,4829479.0,4843214.0,4853875.0,4863300.0
AK,401851.0,418491.0,449606.0,488417.0,513702.0,532495.0,544268.0,539309.0,541983.0,547159.0,553290.0,570193.0,588736.0,599432.0,603308.0,604412.0,608569.0,612968.0,619932.0,624779.0,627963.0,633714.0,642337.0,648414.0,659286.0,666946.0,675302.0,680300.0,687455.0,698895.0,714031.0,722713.0,731089.0,736879.0,736705.0,737709.0,741894.0
AZ,2718215.0,2810107.0,2889861.0,2968925.0,3067135.0,3183538.0,3308262.0,3437103.0,3535183.0,3622185.0,3684097.0,3788576.0,3915740.0,4065440.0,4245089.0,4432499.0,4586940.0,4736990.0,4883342.0,5023823.0,5160586.0,5273477.0,5396255.0,5510364.0,5652404.0,5839077.0,6029141.0,6167681.0,6280362.0,6343154.0,6408312.0,6467163.0,6549634.0,6624617.0,6719993.0,6817565.0,6931071.0
AR,2286435.0,2293201.0,2294257.0,2305761.0,2319768.0,2327046.0,2331984.0,2342355.0,2342656.0,2346358.0,2356586.0,2383144.0,2415984.0,2456303.0,2494019.0,2535399.0,2572109.0,2601090.0,2626289.0,2651860.0,2678588.0,2691571.0,2705927.0,2724816.0,2749686.0,2781097.0,2821761.0,2848650.0,2874554.0,2896843.0,2921995.0,2939493.0,2950685.0,2958663.0,2966912.0,2977853.0,2988248.0
CA,23667902.0,24285933.0,24820009.0,25360026.0,25844393.0,26441109.0,27102237.0,27777158.0,28464249.0,29218164.0,29959515.0,30470736.0,30974659.0,31274928.0,31484435.0,31696582.0,32018834.0,32486010.0,32987675.0,33499204.0,33987977.0,34479458.0,34871843.0,35253159.0,35574576.0,35827943.0,36021202.0,36250311.0,36604337.0,36961229.0,37332685.0,37676861.0,38011074.0,38335203.0,38680810.0,38993940.0,39250017.0
CO,2889964.0,2977898.0,3061564.0,3133630.0,3169992.0,3208723.0,3237450.0,3260480.0,3262281.0,3275818.0,3307618.0,3387119.0,3495939.0,3613734.0,3724168.0,3826653.0,3919972.0,4018293.0,4116639.0,4226018.0,4326921.0,4425687.0,4490406.0,4528732.0,4575013.0,4631888.0,4720423.0,4803868.0,4889730.0,4972195.0,5048644.0,5118360.0,5189867.0,5267603.0,5349648.0,5448819.0,5540545.0
CT,3107576.0,3128836.0,3139013.0,3162354.0,3180014.0,3201131.0,3223740.0,3247291.0,3271953.0,3283403.0,3291967.0,3302895.0,3300712.0,3309175.0,3316121.0,3324144.0,3336685.0,3349348.0,3365352.0,3386401.0,3411777.0,3432835.0,3458749.0,3484336.0,3496094.0,3506956.0,3517460.0,3527270.0,3545579.0,3561807.0,3579899.0,3589893.0,3593795.0,3596003.0,3591873.0,3584730.0,3576452.0
DE,594338.0,595975.0,599148.0,605458.0,611565.0,618280.0,627559.0,636947.0,647622.0,658273.0,669567.0,683080.0,694925.0,706378.0,717545.0,729734.0,740977.0,751487.0,763335.0,774990.0,786373.0,795699.0,806169.0,818003.0,830803.0,845150.0,859268.0,871749.0,883874.0,891730.0,899816.0,907924.0,916993.0,925395.0,934948.0,944076.0,952065.0
DC,638333.0,636893.0,634174.0,632433.0,633382.0,634549.0,638269.0,636930.0,630432.0,624168.0,605321.0,600870.0,597565.0,595301.0,589239.0,580517.0,572377.0,567736.0,565230.0,570213.0,572046.0,574504.0,573158.0,568502.0,567754.0,567136.0,570681.0,574404.0,580236.0,592228.0,605183.0,620477.0,635327.0,649165.0,659005.0,670377.0,681170.0
FL,9746324.0,10192774.0,10471407.0,10749851.0,11039925.0,11351118.0,11667505.0,11997283.0,12306395.0,12637715.0,13033307.0,13369798.0,13650553.0,13927185.0,14239444.0,14537875.0,14853360.0,15186304.0,15486559.0,15759421.0,16047515.0,16356966.0,16689370.0,17004085.0,17415318.0,17842038.0,18166990.0,18367842.0,18527305.0,18652644.0,18849098.0,19096952.0,19344156.0,19582022.0,19888741.0,20244914.0,20612439.0
GA,5463105.0,5568345.0,5649792.0,5728250.0,5834954.0,5962661.0,6084666.0,6208467.0,6316142.0,6411099.0,6512602.0,6653005.0,6817203.0,6978240.0,7157165.0,7328413.0,7501069.0,7685099.0,7863536.0,8045965.0,8227303.0,8377038.0,8508256.0,8622793.0,8769252.0,8925922.0,9155813.0,9349988.0,9504843.0,9620846.0,9713521.0,9811610.0,9914668.0,9984938.0,10087231.0,10199398.0,10310371.0
HI,964691.0,978195.0,993780.0,1012717.0,1027922.0,1039698.0,1051762.0,1067918.0,1079828.0,1094588.0,1113491.0,1136754.0,1158613.0,1172838.0,1187536.0,1196854.0,1203755.0,1211640.0,1215233.0,1210300.0,1213519.0,1225948.0,1239613.0,1251154.0,1273569.0,1292729.0,1309731.0,1315675.0,1332213.0,1346717.0,1363945.0,1377864.0,1391820.0,1406481.0,1416349.0,1425157.0,1428557.0
ID,943935.0,962204.0,973721.0,981869.0,990839.0,994051.0,990224.0,984997.0,985664.0,994416.0,1012384.0,1041316.0,1071685.0,1108768.0,1145140.0,1177322.0,1203083.0,1228520.0,1252330.0,1275674.0,1299430.0,1319962.0,1340372.0,1363380.0,1391802.0,1428241.0,1468669.0,1505105.0,1534320.0,1554439.0,1571010.0,1584143.0,1595911.0,1612011.0,1633532.0,1652828.0,1683140.0
IL,11426518.0,11443458.0,11423412.0,11408818.0,11412132.0,11399806.0,11387257.0,11391178.0,11390183.0,11409782.0,11453316.0,11568964.0,11694184.0,11809579.0,11912585.0,12008437.0,12101997.0,12185715.0,12271847.0,12359020.0,12434161.0,12488445.0,12525556.0,12556006.0,12589773.0,12609903.0,12643955.0,12695866.0,12747038.0,12796778.0,12841578.0,12860012.0,12870798.0,12879505.0,12867544.0,12839047.0,12801539.0
IN,5490224.0,5480435.0,5467922.0,5450395.0,5458322.0,5459211.0,5454108.0,5473012.0,5491735.0,5523693.0,5557798.0,5616388.0,5674547.0,5739019.0,5793526.0,5851459.0,5906013.0,5955267.0,5998880.0,6044969.0,6091866.0,6127760.0,6155967.0,6196638.0,6233007.0,6278616.0,6332669.0,6379599.0,6424806.0,6459325.0,6490528.0,6516480.0,6537743.0,6569102.0,6595233.0,6612768.0,6633053.0
IA,2913808.0,2907983.0,2888189.0,2870543.0,2858618.0,2829684.0,2791970.0,2767011.0,2768388.0,2770592.0,2781018.0,2797613.0,2818401.0,2836972.0,2850746.0,2867373.0,2880000.0,2891119.0,2902872.0,2917634.0,2929067.0,2931997.0,2934234.0,2941999.0,2953635.0,2964454.0,2982644.0,2999212.0,3016734.0,3032870.0,3050738.0,3065223.0,3076310.0,3091930.0,3108030.0,3121997.0,3134693.0
KS,2363679.0,2384849.0,2401202.0,2415531.0,2424086.0,2427405.0,2432619.0,2445367.0,2461996.0,2472849.0,2481349.0,2498722.0,2532394.0,2556547.0,2580513.0,2601007.0,2614554.0,2635292.0,2660598.0,2678338.0,2693681.0,2702162.0,2713535.0,2723004.0,2734373.0,2745299.0,2762931.0,2783785.0,2808076.0,2832704.0,2858850.0,2869503.0,2885262.0,2892821.0,2899360.0,2906721.0,2907289.0
